model,hf_id,task,split,decode,score
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,default,0.76
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,greedy,0.77
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,temp_0-25,0.71
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,temp_1-5,0.72
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,beam3,0.77
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,beam25,0.74
Qwen3-4B,Qwen/Qwen3-4B,mmlu_med,dev_test,typical,0.82
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,default,0.82
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,greedy,0.83
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,temp_0-25,0.84
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,temp_1-5,0.86
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,beam3,0.85
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,beam25,0.83
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,mmlu_med,dev_test,typical,0.86
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,default,0.58
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,greedy,0.55
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,temp_0-25,0.56
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,temp_1-5,0.54
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,beam3,0.57
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,beam25,0.55
Qwen3-1.7B,Qwen/Qwen3-1.7B,mmlu_med,dev_test,typical,0.56
